department_id|department_name|active_headcount
236082|236082-Home Health Aide Lowell|4
241037|241037-RN Law Home Health|2
236037|236037-Home Health Aide Law|2
235540|235540-House - Care Partners|2
247037|247037-Physical Therapist Asst Law Home Health|2
214638|214638-Clinical Scheduler Law Hospice|2
72800|72800-CT Scan|2
8000-14678|8000-14678-HR Total Rewards|1
8000-13204|8000-13204-RCM Registration|1
72640|72640-Anticoagulation Services|1
69000|69000-Labor and Delivery|1
98230|98230-Urgent Care Tewksbury|1
69200|69200-Operating Room|1
209038|209038-Clinical Manager/Supervisor Law Hospice|1
73480|73480-Sleep Lab LSC|1
220001|220001-Liaison Admin|1
8000-13206|8000-13206-Health Information Management|1
90420|90420-Informatics|1
247045|247045-Physical Therapist Asst Seacoast|1
72300|72300-Ultrasound|1
227001|227001-Staff Education Admin|1
209037|209037-Clinical Manager/Supervisor Law Home Hea|1
220537|220537-Clinical Coordinator Law Home Health|1
60900|60900-Special Care Nursery|1
217001|217001-Intake Admin|1
246045|246045-Physical Therapist Seacoast|1
241028|241028-RN MCH|1
71200|71200-Cardiology|1
250045|250045-Occupational Therapist Seacoast|1
236045|236045-Home Health Aide Seacoast|1
75000|75000-Weight Management Center|1
73600|73600-Respiratory Therapy|1
68250|68250-Lactation Clinic|1
246037|246037-Physical Therapist Law Home Health|1
61100|61100-Intensive Care Unit|1
