month|hires
1990-10-01 00:00:00+00:00|1
1990-11-01 00:00:00+00:00|1
1991-06-01 00:00:00+00:00|1
1992-04-01 00:00:00+00:00|1
1993-06-01 00:00:00+00:00|1
1993-08-01 00:00:00+00:00|1
1993-11-01 00:00:00+00:00|1
1994-01-01 00:00:00+00:00|1
1994-04-01 00:00:00+00:00|1
1994-07-01 00:00:00+00:00|1
1995-04-01 00:00:00+00:00|1
1995-08-01 00:00:00+00:00|1
1998-06-01 00:00:00+00:00|2
1998-07-01 00:00:00+00:00|2
1998-08-01 00:00:00+00:00|3
1998-09-01 00:00:00+00:00|1
1998-10-01 00:00:00+00:00|1
1998-11-01 00:00:00+00:00|1
1999-01-01 00:00:00+00:00|1
1999-04-01 00:00:00+00:00|1
1999-05-01 00:00:00+00:00|2
1999-06-01 00:00:00+00:00|1
1999-07-01 00:00:00+00:00|1
1999-08-01 00:00:00+00:00|2
1999-09-01 00:00:00+00:00|2
1999-10-01 00:00:00+00:00|1
1999-11-01 00:00:00+00:00|1
1999-12-01 00:00:00+00:00|1
2000-09-01 00:00:00+00:00|1
2005-09-01 00:00:00+00:00|1
2006-08-01 00:00:00+00:00|1
2008-07-01 00:00:00+00:00|1
2008-09-01 00:00:00+00:00|1
2009-03-01 00:00:00+00:00|1
2011-05-01 00:00:00+00:00|1
2011-07-01 00:00:00+00:00|1
2014-03-01 00:00:00+00:00|1
2015-05-01 00:00:00+00:00|1
2016-07-01 00:00:00+00:00|1
2017-02-01 00:00:00+00:00|1
2017-05-01 00:00:00+00:00|1
2018-03-01 00:00:00+00:00|1
2019-02-01 00:00:00+00:00|1
